x,y
50.33333333333334,4.313911015479517e-06
50.66666666666666,7.275724553225666e-06
51,2.721529211459543e-06
51.33333333333334,9.618025615288917e-06
51.66666666666666,1.080626719322513e-05
52,4.57397013829184e-06
52.33333333333334,1.082816940300024e-05
52.66666666666666,3.083567819493026e-06
53,1.229616703528844e-05
53.33333333333334,9.738037796692048e-06
53.66666666666666,1.362536264612946e-05
54,6.450854553796167e-06
54.33333333333334,5.23755847166897e-06
54.66666666666666,8.480498446468628e-06
55,3.73363157973029e-06
55.33333333333334,1.622617167302224e-05
55.66666666666666,5.334081958348609e-06
56,1.579022601938538e-05
56.33333333333334,5.886613305421586e-06
56.66666666666666,3.694575795465937e-06
57,7.199737013134484e-06
57.33333333333334,8.286669695301193e-06
57.66666666666666,1.079152773763914e-06
58,9.262427477196961e-06
58.33333333333334,1.151112779076316e-05
58.66666666666666,3.341245913949196e-06
59,8.899288376001397e-06
59.33333333333334,1.484886839828955e-05
59.66666666666666,1.111089360424057e-05
60,5.221644719636274e-06
60.33333333333334,9.712983033009096e-06
60.66666666666666,6.225704064035836e-06
61,4.873913771099847e-06
61.33333333333334,1.043275190663033e-05
61.66666666666666,7.718316560926684e-06
62,7.129295573564575e-06
62.33333333333334,5.606841587899516e-06
62.66666666666666,3.606006807185311e-06
63,1.181754332684289e-05
63.33333333333334,2.053281332176833e-05
63.66666666666666,1.284987316594115e-05
64,5.92607583692422e-06
64.33333333333333,7.817825306264866e-06
64.66666666666667,1.306202435041548e-05
65,1.160933849345824e-05
65.33333333333333,4.401777411634624e-06
65.66666666666667,7.987432223105707e-06
66,5.682102745295083e-06
66.33333333333333,6.654666226815359e-06
66.66666666666667,2.616826881153963e-06
67,3.85212430664198e-06
67.33333333333333,4.423083898510006e-06
67.66666666666667,7.86755719072344e-07
68,5.377334193652281e-06
68.33333333333333,1.103719760389079e-05
68.66666666666667,4.064657436962633e-06
69,3.536996302994036e-06
69.33333333333333,8.331352243070522e-06
69.66666666666667,6.080768018890431e-06
70,7.591298444170599e-06
70.33333333333333,2.965150074818243e-06
70.66666666666667,7.477226355553424e-06
71,5.241042126407099e-06
71.33333333333333,7.146722922341504e-06
71.66666666666667,3.594924038761825e-06
72,1.179333383165662e-06
72.33333333333333,1.018454486921023e-05
72.66666666666667,6.988356611016246e-06
73,1.402712427638726e-06
73.33333333333333,4.823049906256656e-06
